007.pgm.atts,448,675.2953,15.1825,0.61786,0.09757
008.pgm.atts,443,904.4045,134.3014,0.60101,0.0885
010.pgm.atts,399,841.1027,99.1046,0.6139,0.088725
019.pgm.atts,541,1238.2833,149.142,0.63221,0.097474
020.pgm.atts,668,1880.0384,216.623,0.29978,0.077198
101.pgm.atts,831,1331.7201,107.3883,0.4675,0.092328
103.pgm.atts,524,457.8752,46.6049,0.88522,0.095931
104.pgm.atts,657,1741.3829,190.6066,0.56701,0.061495
105.pgm.atts,544,1271.8948,129.4598,0.56694,0.097812
108.pgm.atts,772,806.0818,63.9664,0.42347,0.089797
110.pgm.atts,922,2628.4587,326.069,0.57007,0.094918
125.pgm.atts,711,1979.6654,225.3161,0.50769,0.060699
126.pgm.atts,320,750.5072,81.7862,0.71113,0.097391
131.pgm.atts,594,598.4568,52.6072,0.56305,0.087356
202.pgm.atts,902,1186.3715,83.4186,0.52906,0.096289
203.pgm.atts,627,1265.9726,116.1887,0.47314,0.083961
204.pgm.atts,731,2350.702,230.7128,0.56135,0.094617
216.pgm.atts,1024,2129.7607,264.0337,0.49715,0.099786
217.pgm.atts,558,1090.9047,86.4763,0.6235,0.09877
217095.pgm.atts,707,1442.8645,149.5052,0.51224,0.081366
222.pgm.atts,1080,1134.3565,71.9912,0.61411,0.095929
223.pgm.atts,638,733.1028,68.2619,0.46178,0.098946
56.pgm.atts,486,938.8748,90.9817,0.60307,0.096629
S003I005.PGM.atts,425,717.6957,73.4016,0.49454,0.098685
S003I007.pgm.atts,373,881.285,93.1986,0.40351,0.099914
S004I001.PGM.atts,408,787.8135,68.6845,0.71278,0.099167
S004I003.PGM.atts,383,770.489,88.7899,0.74271,0.097617
S004I004.PGM.atts,411,870.101,94.8918,0.76903,0.095399
S004I006.PGM.atts,503,1328.9307,120.9327,0.54302,0.081152
S004I007.PGM.atts,457,1105.4715,105.5514,0.7534,0.099797
S004I008.PGM.atts,458,1087.025,104.382,0.5937,0.099095
S004I00C.PGM.atts,361,792.2117,83.945,0.87284,0.099608
S004I00D.PGM.atts,455,1183.065,102.7427,0.69169,0.098131
S004I00E.PGM.atts,683,983.0875,976.7964,0.50408,0.098795
S005I001.pgm.atts,396,1595.0649,238.2135,0.67322,0.095053
S005I002.pgm.atts,389,1575.9963,257.119,0.78881,0.098306
S005I003.pgm.atts,381,1608.4348,257.6357,0.61737,0.097525
S005I004.pgm.atts,323,1399.6564,172.8424,0.97037,0.099932
S005I005.pgm.atts,385,1623.5659,245.8765,0.52687,0.099041
S005I006.pgm.atts,422,1763.7868,321.9625,0.56744,0.099379
S005I007.pgm.atts,388,1714.398,258.9354,0.74281,0.099047
S005I008.pgm.atts,384,1687.07,265.7412,0.69325,0.098141
S005I009.pgm.atts,367,1641.0684,226.629,0.68048,0.095242
S005I00A.PGM.atts,235,1140.4564,117.886,0.90171,0.095781
S005I00B.PGM.atts,454,1904.9653,324.3147,0.90475,0.091398
S005I00C.PGM.atts,455,263.3353,718.0921,0.82585,0.092034
S006I008.PGM.atts,341,1615.3714,199.2055,0.71716,0.099072
S006I009.PGM.atts,406,1783.7381,289.3442,0.67035,0.09726
S006I00A.PGM.atts,429,1885.8516,296.2695,0.62214,0.096326
S006I00B.PGM.atts,340,1353.3737,140.9033,0.96556,0.098717
S006I00E.PGM.atts,444,1672.9372,217.6972,0.71222,0.083909
S006I015.PGM.atts,329,1263.5202,123.6368,0.7024,0.13842
S006I016.PGM.atts,322,1343.6077,151.051,0.79459,0.096328
S006I017.PGM.atts,338,1373.2159,149.1943,0.6569,0.09902
S006I018.PGM.atts,347,1415.2109,167.456,0.53303,0.079734
S006I019.PGM.atts,365,1449.6742,180.2677,0.81677,0.097138
S006I01A.PGM.atts,336,1447.2963,157.0305,0.58086,0.085619
airfield.pgm.atts,903,1968.7321,1653.5905,0.52993,0.092377
airfield_edges.pgm.atts,1190,3441.8711,266.8554,0.99718,0.053241
airplane.pgm.atts,525,2005.8375,293.9369,0.94928,0.096531
boatbilledheron.pgm.atts,257,1210.6837,106.5724,0.81611,0.097817
buildings.pgm.atts,699,534.6175,825.909,0.52063,0.076354
coffee.pgm.atts,494,1873.2864,254.6033,0.62857,0.099685
collarlemur.pgm.atts,75,3.1281,8.2453,0.94003,0.15126
colobus.pgm.atts,87,7.5533,4.3329,0.83393,0.11324
dog1.pgm.atts,457,66.6108,11.9073,0.46422,0.097835
dog2.pgm.atts,544,2086.0236,363.3489,0.52627,0.096225
dog3.pgm.atts,619,432.2935,1092.8603,0.52616,0.095406
giraffe.pgm.atts,767,2395.747,118.264,0.42475,0.095254
goldenbackedwoodpecker.pgm.atts,601,1481.6564,170.6086,0.48096,0.095471
golfcart.pgm.atts,770,2370.8437,120.7682,0.58529,0.09498
homes.pgm.atts,954,2603.1992,168.1921,0.31136,0.08024
image0.pgm.atts,217,918.0682,107.5323,0.87321,0.098121
image1.pgm.atts,300,1345.0426,163.7441,0.75727,0.09751
image10.pgm.atts,266,1221.8144,128.4686,0.74664,0.095151
image12.pgm.atts,249,1059.8662,121.8896,0.78629,0.097175
image13.pgm.atts,202,737.4243,96.3602,0.73599,0.094993
image15.pgm.atts,228,1132.7721,121.225,0.55829,0.088462
image24.pgm.atts,321,1465.3484,195.7915,0.53819,0.095311
image25.pgm.atts,236,1169.126,119.7683,0.5626,0.092927
image29.pgm.atts,194,693.0886,90.6069,1,0.093703
image32.pgm.atts,218,329.2003,62.8509,0.93857,0.095467
image35.pgm.atts,116,3.3187,8.5084,0.82502,0.17515
image36.pgm.atts,168,30.0125,34.7582,0.82921,0.14481
image41.pgm.atts,210,43.1604,6.8342,0.7899,0.091909
largebuilding.pgm.atts,1004,1070.8069,81.7937,0.5115,0.098355
lilacbreastedroller.pgm.atts,385,998.7605,127.6803,0.44159,0.099128
mailbox.pgm.atts,790,817.0363,72.7505,0.54219,0.092287
nicobarpigeon.pgm.atts,677,2221.1587,262.9666,0.57179,0.09478
pheasant.pgm.atts,621,1966.6904,208.4531,0.4903,0.095417
police.pgm.atts,1037,1077.5097,79.797,0.5511,0.09768
redbirdofparadise.pgm.atts,557,1600.7391,183.3585,0.38698,0.079796
rhino.pgm.atts,291,853.1548,92.9733,0.73136,0.086643
school.pgm.atts,534,1542.1645,163.8757,0.76596,0.066984
series.pgm.atts,630,1165.3428,96.0056,0.43106,0.099829
tiger.pgm.atts,253,173.6938,38.4407,0.83918,0.090184
tiger_m.pgm.atts,648,1256.5309,96.2266,0.48272,0.090784
woods.pgm.atts,576,991.7806,97.8652,0.45019,0.089649
zebra.pgm.atts,729,1628.1914,117.6415,0.5116,0.096155
zebra1.pgm.atts,674,249.7256,23.5836,0.5919,0.080227
zebra_b.pgm.atts,707,2349.935,226.1456,0.49021,0.078144