007.pgm.atts,448,675.2953,41.021,0.49155,0.20195
008.pgm.atts,443,904.4045,224.9777,0.55548,0.15679
010.pgm.atts,399,841.1027,206.5408,0.50485,0.16202
019.pgm.atts,541,469.6494,110.2487,0.49508,0.16307
020.pgm.atts,668,800.1867,133.9047,0.43434,0.11715
101.pgm.atts,831,1331.7201,244.7734,0.40921,0.097866
103.pgm.atts,524,457.8752,116.9241,0.52211,0.31157
104.pgm.atts,657,524.4531,134.7731,0.50008,0.15701
105.pgm.atts,544,1271.8948,254.638,0.42831,0.14715
108.pgm.atts,772,806.0818,148.0687,0.38624,0.088057
110.pgm.atts,922,887.0694,172.2844,0.59489,0.099429
125.pgm.atts,711,600.6289,128.5401,0.46914,0.11846
126.pgm.atts,320,750.5072,143.8187,0.59122,0.12288
131.pgm.atts,594,598.4568,129.7894,0.58615,0.18747
202.pgm.atts,902,1143.2382,251.1253,0.55871,0.099784
203.pgm.atts,627,1265.9726,250.4049,0.49573,0.16581
204.pgm.atts,731,800.0567,157.6757,0.44076,0.085088
216.pgm.atts,1024,981.2453,253.9265,0.4797,0.08907
217.pgm.atts,558,1090.9047,190.5294,0.59432,0.15862
217095.pgm.atts,707,1019.5355,136.3989,0.477,0.11063
222.pgm.atts,1080,2489.5046,286.8588,0.62302,0.098897
223.pgm.atts,638,733.1028,151.5066,0.61666,0.1244
56.pgm.atts,486,724.845,176.4582,0.46014,0.12227
S003I005.PGM.atts,425,717.6957,148.5873,0.55451,0.23076
S003I007.pgm.atts,373,881.285,195.0479,0.54209,0.21813
S004I001.PGM.atts,408,787.8135,134.1054,0.52609,0.17896
S004I003.PGM.atts,383,770.489,194.8007,0.55708,0.22757
S004I004.PGM.atts,411,870.101,206.7891,0.50943,0.26001
S004I006.PGM.atts,503,1328.9307,235.4163,0.49604,0.099395
S004I007.PGM.atts,457,1105.4715,223.234,0.44348,0.16023
S004I008.PGM.atts,458,213.5545,184.7324,0.4978,0.17866
S004I00C.PGM.atts,361,792.2117,178.6258,0.68265,0.2797
S004I00D.PGM.atts,455,198.4963,201.3598,0.58576,0.18478
S004I00E.PGM.atts,683,983.0875,239.8481,0.48401,0.084973
S005I001.pgm.atts,396,1595.0649,354.2198,0.47472,0.23146
S005I002.pgm.atts,389,76.2534,151.7754,0.55013,0.20621
S005I003.pgm.atts,381,449.4747,87.533,0.52729,0.15473
S005I004.pgm.atts,323,1399.6564,308.7992,0.55417,0.41199
S005I005.pgm.atts,385,98.1029,154.2323,0.58652,0.18096
S005I006.pgm.atts,422,174.9223,142.7542,0.50962,0.16991
S005I007.pgm.atts,388,134.5684,164.8545,0.4733,0.21764
S005I008.pgm.atts,384,128.7166,155.2074,0.56507,0.24021
S005I009.pgm.atts,367,95.6819,153.0819,0.61019,0.2535
S005I00A.PGM.atts,235,1140.4564,314.6104,0.34787,0.33679
S005I00B.PGM.atts,454,233.3339,186.9709,0.64069,0.10535
S005I00C.PGM.atts,455,263.3353,91.9901,0.52032,0.27335
S006I008.PGM.atts,341,49.6456,148.6366,0.56275,0.29987
S006I009.PGM.atts,406,113.5541,175.0619,0.49717,0.14699
S006I00A.PGM.atts,429,454.3948,90.6774,0.53562,0.13307
S006I00B.PGM.atts,340,1353.3737,269.6373,0.62719,0.31386
S006I00E.PGM.atts,444,1672.9372,332.1933,0.40405,0.14893
S006I015.PGM.atts,329,1263.5202,298.4253,0.88422,0.55329
S006I016.PGM.atts,322,1343.6077,246.5114,0.56463,0.31095
S006I017.PGM.atts,338,1373.2159,232.4793,0.64952,0.334
S006I018.PGM.atts,347,1415.2109,244.4632,0.56643,0.2217
S006I019.PGM.atts,365,1449.6742,274.8614,0.54937,0.42862
S006I01A.PGM.atts,336,1447.2963,286.447,0.52613,0.24451
airfield.pgm.atts,903,977.0853,174.6136,0.46172,0.098497
airfield_edges.pgm.atts,1190,3441.8711,408.6915,0.99945,0.053241
airplane.pgm.atts,525,161.5678,231.6326,0.54769,0.37023
boatbilledheron.pgm.atts,257,1210.6837,227.6691,0.58771,0.14994
buildings.pgm.atts,699,534.6175,254.0512,0.45145,0.13584
coffee.pgm.atts,494,113.8512,206.14,0.46831,0.20401
collarlemur.pgm.atts,75,3.1281,17.633,0.27111,0.11187
colobus.pgm.atts,87,7.5533,20.0159,0.37599,0.088134
dog1.pgm.atts,457,66.6108,65.8321,0.56387,0.1177
dog2.pgm.atts,544,258.3871,240.7164,0.46058,0.10874
dog3.pgm.atts,619,432.2935,269.1359,0.6131,0.12932
giraffe.pgm.atts,767,2395.747,241.8493,0.42945,0.091992
goldenbackedwoodpecker.pgm.atts,601,1481.6564,122.9233,0.45737,0.12783
golfcart.pgm.atts,770,2370.8437,158.6565,0.55169,0.091659
homes.pgm.atts,954,2603.1992,300.7865,0.35103,0.099631
image0.pgm.atts,217,918.0682,211.2616,0.55488,0.24119
image1.pgm.atts,300,1345.0426,252.1527,0.63869,0.20413
image10.pgm.atts,266,1221.8144,252.8302,0.65678,0.20307
image12.pgm.atts,249,1059.8662,225.0645,0.45281,0.1595
image13.pgm.atts,202,737.4243,210.7736,0.91256,0.34123
image15.pgm.atts,228,1132.7721,228.6823,0.52248,0.14756
image24.pgm.atts,321,1465.3484,319.1701,0.60704,0.1669
image25.pgm.atts,236,1169.126,230.2813,0.50983,0.12927
image29.pgm.atts,194,693.0886,213.5133,0.56818,0.17174
image32.pgm.atts,218,329.2003,161.8176,0.52854,0.13448
image35.pgm.atts,116,3.3187,103.8136,0.51935,0.14472
image36.pgm.atts,168,30.0125,120.9528,0.11508,0.11606
image41.pgm.atts,210,43.1604,17.564,0.7368,0.088731
largebuilding.pgm.atts,1004,1070.8069,224.576,0.4823,0.09992
lilacbreastedroller.pgm.atts,385,998.7605,214.4277,0.42737,0.1544
mailbox.pgm.atts,790,817.0363,159.6597,0.39115,0.093533
nicobarpigeon.pgm.atts,677,674.369,120.2683,0.55892,0.096997
pheasant.pgm.atts,621,546.362,132.0675,0.46937,0.11633
police.pgm.atts,1037,1077.5097,235.9067,0.38583,0.079785
redbirdofparadise.pgm.atts,557,610.8755,120.4881,0.47487,0.091925
rhino.pgm.atts,291,853.1548,171.6724,0.67354,0.13066
school.pgm.atts,534,512.6109,105.6159,0.51485,0.20221
series.pgm.atts,630,1165.3428,171.0773,0.53832,0.15945
tiger.pgm.atts,253,173.6938,128.137,0.46311,0.084139
tiger_m.pgm.atts,648,650.6785,267.5842,0.55624,0.13954
woods.pgm.atts,576,991.7806,132.1812,0.57947,0.16126
zebra.pgm.atts,729,968.198,354.2066,0.42742,0.14272
zebra1.pgm.atts,674,249.7256,149.6574,0.54776,0.15166
zebra_b.pgm.atts,707,807.3675,240.5809,0.48319,0.1329